Country,Cases,Deaths,Continent
United States,92172336,1051979,North America
India,43888755,526033,Asia
Brazil,33581533,676979,South America
France,33482230,151350,Europe
Germany,30331131,143177,Europe
United Kingdom,23212565,182727,Europe
Italy,20660065,170875,Europe
South Korea,19211613,24873,Asia
Russia,18532255,382155,Europe
Turkey,15524071,99184,Asia
Spain,13204863,110187,Europe
Japan,11174623,31865,Asia
Vietnam,10767948,43092,Asia
Argentina,9465827,129202,South America
Australia,9103321,11172,Australia/Oceania
Netherlands,8305906,22456,Europe
Iran,7328153,141684,Asia
Mexico,6617393,327073,North America
Colombia,6247634,140603,South America
Indonesia,6168342,156902,Asia
Poland,6049052,116510,Europe
Portugal,5317004,24528,Europe
Ukraine,5021612,108699,Europe
North Korea,4772680,74,Asia
Austria,4687113,18999,Europe
Malaysia,4651651,35914,Asia
Thailand,4575853,31160,Asia
Israel,4551146,11291,Asia
Taiwan,4430583,8596,Asia
Belgium,4381331,32118,Europe
Greece,4210771,30707,Europe
Chile,4185247,59332,South America
Canada,4012359,43583,North America
South Africa,4002133,101943,Africa
Czech Republic (Czechia),3968133,40387,Europe
Switzerland,3893084,14024,Europe
Peru,3829775,213998,South America
Philippines,3752534,60683,Asia
Denmark,3051343,6591,Europe
Romania,3006756,65857,Europe
Sweden,2533978,19216,Europe
Iraq,2429833,25290,Asia
Serbia,2083861,16215,Europe
Bangladesh,2001775,29266,Asia
Hungary,1951079,46736,Europe
Slovakia,1812050,20197,Europe
Jordan,1700526,14068,Asia
Georgia,1675265,16854,Asia
Singapore,1659156,1476,Asia
Ireland,1628745,7537,Europe
New Zealand,1563510,1925,Australia/Oceania
Pakistan,1550298,30467,Asia
Norway,1454365,3596,Europe
Kazakhstan,1328844,13665,Asia
Hong Kong,1321993,9469,Asia
Morocco,1257764,16213,Africa
Bulgaria,1194883,37329,Europe
Croatia,1177595,16217,Europe
Finland,1171034,5012,Europe
Lebanon,1155660,10506,Asia
Tunisia,1114370,28942,Africa
Cuba,1107407,8529,North America
Lithuania,1079406,9199,Europe
Slovenia,1071573,6681,Europe
Guatemala,1015257,18925,North America
Bolivia,1001213,22017,South America
Belarus,994037,7118,Europe
Costa Rica,989213,8670,North America
Nepal,983622,11954,Asia
United Arab Emirates,982969,2332,Asia
Uruguay,967808,7387,South America
Ecuador,946487,35786,South America
Panama,942083,8395,North America
Mongolia,934357,2179,Asia
Latvia,852683,5879,Europe
Saudi Arabia,807591,9239,Asia
Azerbaijan,796474,9735,Asia
Paraguay,701060,19147,South America
Sri Lanka,664900,16537,Asia
Bahrain,654873,1506,Asia
Kuwait,653020,2559,Asia
Dominican Republic,625156,4383,North America
Myanmar,613951,19434,Asia
State of Palestine,592699,5360,Asia
Estonia,584178,2612,Europe
Cyprus,556048,1099,Asia
Venezuela,532476,5756,South America
Moldova,520321,11567,Europe
Egypt,515645,24613,Africa
Libya,502642,6431,Africa
Ethiopia,491729,7566,Africa
Honduras,436210,10931,North America
Réunion,429237,825,Africa
Armenia,424400,8629,Asia
Qatar,402330,680,Asia
Oman,393002,4260,Asia
Bosnia and Herzegovina,382861,15828,Europe
Kenya,337242,5670,Africa
Zambia,328550,4013,Africa
Botswana,325181,2763,Africa
North Macedonia,322165,9353,Europe
Albania,303925,3525,Europe
Luxembourg,274524,1102,Europe
Algeria,266839,6876,Africa
Nigeria,260339,3147,Africa
Zimbabwe,256246,5572,Africa
Montenegro,252016,2736,Europe
Uzbekistan,242691,1637,Asia
Mozambique,229375,2215,Africa
China,228648,5226,Asia
Martinique,211836,1005,North America
Laos,210789,757,Asia
Kyrgyzstan,201329,2991,Asia
Iceland,201082,179,Europe
Brunei ,195113,225,Asia
Afghanistan,184587,7738,Asia
Maldives,183908,307,Asia
El Salvador,180970,4184,North America
Guadeloupe,179285,960,North America
Trinidad and Tobago,170063,4042,North America
Namibia,169253,4065,Africa
Uganda,168978,3628,Africa
Ghana,167215,1456,Africa
Jamaica,145497,3181,North America
Cambodia,136588,3056,Asia
Rwanda,132044,1466,Africa
Cameroon,120068,1931,Africa
Malta,112217,785,Europe
Angola,102301,1912,Africa
DR Congo,91928,1390,Africa
French Guiana,91812,404,South America
Barbados,89654,482,North America
Malawi,87156,2656,Africa
Channel Islands,87142,186,Europe
Senegal,86986,1968,Africa
Côte d'Ivoire,84950,809,Africa
Suriname,80949,1379,South America
French Polynesia,74639,649,Australia/Oceania
Eswatini,73253,1417,Africa
Guyana,69413,1269,South America
New Caledonia,67999,314,Australia/Oceania
Fiji,67191,870,Australia/Oceania
Belize,66621,680,North America
Madagascar,66289,1406,Africa
Sudan,62914,4955,Africa
Mauritania,62280,989,Africa
Cabo Verde,62055,409,Africa
Bhutan,60109,21,Asia
Syria,56067,3150,Asia
Gabon,48417,306,Africa
Seychelles,45185,167,Africa
Curaçao,44932,282,North America
Papua New Guinea,44772,662,Australia/Oceania
Andorra,44671,153,Europe
Burundi,43850,38,Africa
Aruba,41787,224,North America
Mauritius,39310,1009,Africa
Mayotte,38653,187,Africa
Togo,37929,276,Africa
Isle of Man,37538,111,Europe
Tanzania,37510,841,Africa
Guinea,37358,443,Africa
Bahamas,36568,822,North America
Faeroe Islands,34658,28,Europe
Lesotho,34040,702,Africa
Haiti,32131,838,North America
Mali,31212,737,Africa
Cayman Islands,27966,29,North America
Saint Lucia,27654,385,North America
Benin,27271,163,Africa
Somalia,26912,1350,Africa
Congo,24604,386,Africa
Timor-Leste,22980,133,Asia
Solomon Islands,21544,153,Australia/Oceania
Burkina Faso,21128,387,Africa
Gibraltar,19902,105,Europe
San Marino,19532,117,Europe
Grenada,18720,233,North America
Nicaragua,18491,225,North America
Liechtenstein,18478,85,Europe
Tajikistan,17786,125,Asia
South Sudan,17733,138,Africa
Bermuda,16988,142,North America
Equatorial Guinea,16654,183,Africa
Djibouti,15690,189,Africa
Samoa,15243,29,Australia/Oceania
Dominica,14852,68,North America
Central African Republic,14712,113,Africa
Monaco,13964,57,Europe
Tonga,12515,12,Australia/Oceania
Gambia,12028,368,Africa
Greenland,11971,21,North America
Yemen,11849,2149,Asia
Vanuatu,11723,14,Australia/Oceania
Saint Martin,11410,63,North America
Sint Maarten,10708,87,North America
Caribbean Netherlands,10595,35,North America
Eritrea,9928,103,Africa
Niger,9104,311,Africa
Antigua and Barbuda,8736,144,North America
Guinea-Bissau,8400,171,Africa
Comoros,8270,160,Africa
Sierra Leone,7729,125,Africa
Liberia,7508,294,Africa
Chad,7430,193,Africa
British Virgin Islands,7131,63,North America
St. Vincent & Grenadines,7059,115,North America
Nauru,6960,1,Australia/Oceania
Saint Kitts & Nevis,6422,46,North America
Turks and Caicos,6279,36,North America
Sao Tome & Principe,6087,74,Africa
Cook Islands,5847,1,Australia/Oceania
Palau,5308,6,Australia/Oceania
Saint Barthelemy,4954,6,North America
Anguilla,3543,10,North America
Kiribati,3348,13,Australia/Oceania
Saint Pierre & Miquelon,3026,1,North America
Falkland Islands,1835,0,South America
Montserrat,1040,8,North America
Micronesia,1012,0,Australia/Oceania
Macao,785,6,Asia
Wallis & Futuna,533,7,Australia/Oceania
Marshall Islands,59,0,Australia/Oceania
Holy See,29,0,Europe
Niue,29,0,Australia/Oceania
Western Sahara,10,1,Africa
MS Zaandam,9,2,
Tuvalu,3,0,Australia/Oceania
Saint Helena,2,0,Africa
